Date/Time,Word Count,en,fr
2024.04.23-09.56.14,34,34,0
2024.04.23-10.13.50,35,35,1
2024.04.23-10.15.50,38,38,1
2024.04.23-10.30.32,36,36,1
2024.04.23-10.35.33,36,36,10
2024.04.23-10.40.02,36,36,31
2024.04.23-10.41.15,36,36,36
2024.04.25-10.56.55,44,44,36
2024.04.25-11.02.00,44,44,44
2024.04.25-13.56.53,46,46,44
2024.04.25-13.57.59,44,44,43
2024.04.25-13.59.31,44,44,44
2024.04.25-14.26.51,45,45,43
2024.04.25-14.29.00,45,45,45
2024.04.25-14.34.14,45,45,44
2024.04.25-14.35.03,45,45,45
2024.04.25-14.36.23,46,46,45
2024.04.25-14.36.46,46,46,46
2024.05.03-10.52.37,45,45,44
2024.05.03-10.53.17,45,45,45
2024.06.17-17.09.45,324,324,34
2024.06.17-17.40.26,324,324,322
